"","leave_share","import_shock","immigrant_share","immigrant_arrivals","fiscal_cuts","median_wage_growth","UKIP_vote_share","nuts3","nuts1"
"39",57.2234884588289,0.281000256538391,15.1394422310757,1.79825653798257,-24.4188919067383,-6.14837646484375,29.8114452362061,"UKF11","UKF"
"40",63.9188184441672,0.517998278141022,3.2258064516129,0.595740284784518,-26.727689743042,-7.58810949325562,33.359375,"UKF12","UKF"
"41",57.3558468349598,0.517998278141022,2.41935483870968,0.266184294804739,-158.485137939453,-2.85757565498352,31.6668739318848,"UKF13","UKF"
"42",50.8391278043444,0.348651975393295,21.7252396166134,2.84898876404494,4.41305446624756,-9.90092468261719,25.0473136901855,"UKF14","UKF"
"43",67.0692143438578,0.464345127344131,5.70175438596491,1.23052309404563,-33.1138305664062,-7.08229398727417,35.4137496948242,"UKF15","UKF"
"44",50.7263547560874,0.464345127344131,7.64705882352941,0.527710695909654,-185.704238891602,-4.42506647109985,29.6380424499512,"UKF16","UKF"
"45",48.9249633019601,0.751619219779968,35.9050445103858,3.97682587951555,7.02211380004883,-6.60891246795654,18.1520900726318,"UKF21","UKF"
"46",56.3633152528923,0.626104831695557,7.41797432239658,0.64923236761799,-237.648132324219,-3.89013290405273,33.3304901123047,"UKF22","UKF"
"47",57.3514654650106,0.608669996261597,11.6883116883117,3.10014870369173,-208.579559326172,-11.1357622146606,34.8183174133301,"UKF24","UKF"
"48",61.2460559923874,0.608669996261597,11.9266055045872,2.20378418718996,-107.752861022949,-5.69035243988037,36.4258422851562,"UKF25","UKF"
"49",65.164098801663,0.269686162471771,8.55172413793103,1.79772546492317,-93.774169921875,-3.06036734580994,40.4628715515137,"UKF30","UKF"
"50",59.224161817678,0.263276487588882,8.06451612903226,2.7034718269778,-170.49755859375,-3.0019519329071,32.8081207275391,"UKG11","UKG"
"51",57.4434623697482,0.389914810657501,6.15114235500879,1.22917833893128,-177.121719360352,-2.72382116317749,33.9946365356445,"UKG12","UKG"
"52",54.7638409097857,0.340815424919128,9.47176684881603,1.64982603377491,-183.620391845703,-8.79519176483154,29.5969638824463,"UKG13","UKG"
"53",63.2222135419573,0.601134240627289,7.10059171597633,1.27603348548408,-13.0381879806519,-7.56620073318481,36.1629753112793,"UKG21","UKG"
