"","ID","support_iec","altruism","reciprocity","industry","emp_status","age","female","educ_high","incgr_high","right"
"799",148757702,0,0,1,NA,2,41,0,1,0,1
"800",148757996,1,0,1,NA,2,34,1,1,0,0
"801",148758178,1,0,0,NA,2,80,1,1,0,0
"802",148758368,0,0,0,1,1,48,1,0,0,0
"803",148758409,0,0,0,NA,3,62,1,0,0,1
"804",148758411,0,0,0,NA,3,72,0,0,0,0
"805",148758418,1,0,1,NA,0,45,1,1,1,1
"806",148758430,0,1,1,0,1,67,1,0,1,1
"807",148758469,0,0,0,NA,0,49,1,0,0,0
"808",148758617,1,0,1,NA,0,19,1,1,0,0
"809",148758749,1,0,0,NA,2,59,1,1,0,0
"810",148758811,1,0,1,0,1,62,0,1,0,0
"811",148758813,1,0,0,0,1,58,0,1,0,0
"812",148758891,1,0,1,0,1,28,1,1,1,1
"813",148759200,1,0,1,NA,2,28,1,1,0,0
"814",148759308,0,0,0,0,1,63,0,0,0,0
"815",148759344,0,1,0,NA,3,76,0,1,0,1
"816",148759450,1,0,0,NA,3,69,0,1,0,1
"817",148759589,1,1,1,NA,3,71,1,1,0,0
"818",148760045,1,0,0,NA,0,58,1,0,1,0
"819",148760055,0,0,0,NA,0,50,1,0,0,0
"820",148760078,0,0,1,0,1,25,1,0,0,1
"821",148760118,0,0,1,0,1,54,1,0,1,1
"822",148760131,0,1,0,NA,1,66,0,0,1,0
"823",148760147,0,0,0,NA,3,90,1,0,0,1
"824",148760150,1,0,1,NA,0,46,1,1,0,1
"825",148760164,1,0,1,0,1,26,1,1,0,0
"826",148760972,1,1,1,0,1,64,0,1,0,0
"827",148761091,1,0,1,NA,0,59,0,1,1,0
"828",148761180,1,1,1,NA,3,63,0,1,1,1
"829",148761732,1,1,1,0,1,53,1,1,0,0
"830",148761735,0,0,0,NA,0,30,1,1,0,0
"831",148761745,1,0,0,0,1,45,1,0,0,0
"832",148761855,0,0,1,1,1,55,1,0,0,1
"833",148761862,0,1,1,1,1,49,1,0,1,0
"834",148761884,0,0,0,NA,2,65,0,1,1,1
"835",148761889,1,1,0,NA,3,64,0,1,1,0
"836",148761890,1,0,1,0,1,53,1,1,1,0
"837",148761945,1,0,0,NA,2,52,0,1,0,0
"838",148762670,1,1,1,NA,0,30,1,0,1,0
"839",148763358,0,0,0,NA,0,56,1,1,0,1
"840",148763530,0,1,1,1,1,46,0,0,0,1
"841",148763538,0,0,0,NA,3,71,0,1,0,1
"842",148763546,1,0,0,NA,3,65,0,0,0,1
"843",148763555,1,0,1,NA,0,68,1,0,0,0
