price,age,bathroom,bedroom,buyage,chnone,dholborn,floorm2,prkspace,chtgas,chtelec,phouse
293000,31,2,4,42,0,24.17505,221,0,1,0,1
293000,31,2,4,42,0,24.17505,221,0,1,0,1
138000,71,1,3,51,0,13.25231,91,1,1,0,1
155000,91,1,3,40,0,12.99635,98,0,1,0,1
158000,81,1,3,51,0,12.79326,111,0,1,0,1
123000,81,1,3,40,0,12.84477,93,0,1,0,1
93999.98,111,1,2,41,0,13.45739,89,0,1,0,1
104450,81,1,2,30,1,13.71883,112,0,0,0,1
104950,81,1,2,30,1,13.71883,112,0,0,0,1
116000,98,1,2,29,0,13.06422,88,0,1,0,1
119000,91,1,2,35,0,12.58933,80,0,1,0,1
224999.9,101,2,4,44,0,12.77389,170,0,1,0,1
88499.98,101,1,2,35,0,12.73695,82,0,1,0,0
56000.02,121,1,1,36,1,12.37592,45,0,0,0,0
110000,101,1,3,32,0,12.00512,107,0,1,0,1
93999.98,71,1,2,30,0,11.8369,78,1,1,0,0
123500,101,1,3,33,0,11.68532,102,0,1,0,1
109000,111,1,2,29,0,11.85107,81,0,1,0,1
99950.01,111,1,2,26,0,13.02607,68,0,1,0,1
79999.97,12,1,1,33,0,19.41217,40,0,0,1,0
136000,91,1,3,30,0,20.20178,90,0,1,0,1
58999.98,16,1,3,72,0,19.99837,66,0,1,0,0
265000,71,1,3,54,0,18.94166,175,0,1,0,1
265000,73,2,4,35,0,19.36602,200,0,1,0,1
317499.9,51,1,3,39,0,21.05596,106,0,1,0,1
158500,66,1,3,37,0,20.91842,92,0,1,0,1
156000,123,1,3,33,0,16.36136,102,1,1,0,1
72999.98,61,1,2,34,0,17.69876,50,1,1,0,0
79999.97,111,1,1,27,0,18.38571,40,0,1,0,0
57999.97,31,1,1,24,0,17.92458,49,0,1,0,0
160000,46,1,3,52,0,17.50873,90,0,1,0,1
185000,41,1,3,40,0,15.26934,127,0,1,0,1
83000.03,46,1,2,42,0,15.42748,63,0,1,0,0
69949.98,31,1,1,33,0,19.36419,53,0,1,0,0
103500,76,1,3,25,0,20.1916,84,1,1,0,1
94999.96,41,1,3,53,0,20.2145,90,0,1,0,1
95999.97,14,1,2,25,0,19.69088,82,1,1,0,1
79000.03,16,1,2,33,0,19.99486,69,1,0,1,1
68000.01,16,1,1,28,0,19.70567,51,1,0,1,0
108000,121,1,2,29,0,15.40491,74,0,1,0,1
118000,66,1,2,29,1,14.87373,75,1,0,0,1
262500,66,2,4,38,0,14.96317,158,0,1,0,1
262500,66,2,4,38,0,14.96317,158,0,1,0,1
262500,66,2,4,38,0,14.96317,158,0,1,0,1
116000,67,1,3,26,0,14.54901,95,0,1,0,1
175000,67,1,3,43,0,14.56569,113,0,1,0,1
136000,66,1,3,30,0,14.72962,87,1,1,0,1
118000,66,1,2,27,0,15.53694,74,0,1,0,1
84994.98,66,1,2,26,1,15.80681,60,0,0,0,1
190000,71,1,4,30,0,15.44168,146,0,1,0,1
102000,46,1,2,32,0,15.09898,74,1,1,0,1
120000,71,1,3,37,0,15.01065,88,1,1,0,1
114000,66,1,2,28,0,15.15987,74,0,1,0,1
127500,71,1,3,24,1,15.61988,85,0,0,0,1
79000.03,66,1,2,56,0,14.83101,68,0,1,0,0
147500,71,1,3,33,0,15.43701,100,0,1,0,1
140000,71,1,3,29,1,14.35933,107,0,0,0,1
114000,66,1,3,25,0,14.00158,87,0,1,0,1
121500,66,1,3,31,0,13.79567,86,0,1,0,1
70000.03,66,1,2,26,0,14.21335,95,1,1,0,0
81999.97,71,1,2,51,1,14.74416,75,0,0,0,1
83000.03,15,1,2,24,0,14.30544,69,1,0,1,0
72994.98,6,1,1,28,0,13.77852,47,1,0,1,0
119000,31,1,3,31,0,13.44196,77,0,1,0,1
84994.98,71,1,2,28,0,16.7145,88,0,1,0,1
79999.97,71,1,2,25,0,16.02564,73,0,0,1,1
84994.98,16,1,2,34,0,16.56417,69,1,1,0,0
57999.97,13,1,1,35,0,15.38227,54,0,0,1,1
64995,13,1,1,30,0,15.73379,50,1,0,1,1
94999.96,101,1,3,26,0,17.01742,95,0,1,0,1
56000.02,15,1,1,33,0,17.08348,45,1,1,0,0
121995,69,2,3,45,0,16.80161,123,0,1,0,1
173000,71,1,4,38,0,16.88483,130,1,1,0,1
73500.02,16,1,1,28,0,18.25793,51,1,1,0,0
430000,51,2,4,51,0,18.00798,181,0,1,0,1
125000,351,1,2,24,0,18.50054,93,0,1,0,1
112000,111,1,2,33,0,18.23757,74,1,1,0,1
122500,66,1,2,101,0,16.77096,79,0,1,0,1
90000.02,38,1,2,57,0,17.31182,58,0,1,0,0
103000,66,1,2,36,0,17.14898,77,1,1,0,1
197000,51,1,4,44,0,17.81166,130,1,1,0,1
163000.1,81,1,3,41,0,17.1263,106,0,1,0,1
139499.9,31,1,4,36,0,16.96878,134,0,1,0,1
89995.04,31,1,2,24,0,16.11644,58,1,1,0,0
195000,71,1,3,33,0,16.25856,125,0,1,0,1
174500,66,1,3,44,0,16.6247,98,1,1,0,1
247999.9,71,1,4,43,0,17.23574,177,0,1,0,1
121000,66,1,2,30,0,17.41871,64,0,1,0,1
118000,31,1,3,32,0,17.4813,96,0,1,0,1
185499.9,71,1,3,39,0,15.41582,126,0,1,0,1
185499.9,71,1,3,39,0,15.41582,126,0,1,0,1
135000,71,1,3,32,1,15.25578,108,0,0,0,1
101000,71,1,2,38,0,18.98319,83,1,1,0,1
77499.97,21,1,2,27,0,18.5386,65,1,1,0,1
50999.98,7,1,1,22,0,18.40178,41,0,0,1,0
89000.02,101,1,3,27,0,18.20491,93,0,1,0,1
69995.02,6,1,2,24,0,20.29967,67,1,1,0,0
81999.97,106,1,3,27,0,19.45495,93,0,1,0,1
124995,3,2,3,35,0,20.49868,88,0,1,0,1
75249.98,91,1,3,25,0,20.19733,102,0,0,1,1
103995,21,1,3,25,0,20.31189,74,1,1,0,1
47500,51,1,1,28,0,19.60444,55,0,0,1,0
35000,10,1,1,23,1,19.49388,33,1,0,0,0
112000,111,1,2,41,0,7.581738,91,0,1,0,1
138000,101,1,3,33,0,8.67543,94,0,1,0,1
94949.97,101,1,2,31,0,8.361053,74,0,1,0,0
93999.98,101,1,3,29,0,8.461584,64,0,1,0,0
91999.97,101,1,3,28,0,8.014978,70,1,1,0,0
79995.02,101,1,1,32,0,8.001446,52,0,1,0,0
59950.02,71,1,1,30,0,8.249585,37,0,1,0,0
123000,101,1,3,23,0,7.561961,108,0,1,0,1
83000.03,101,1,2,27,0,7.351894,66,0,1,0,0
210000,101,1,4,29,0,9.217936,135,0,1,0,1
93500.02,0,1,1,22,0,9.090693,60,1,1,0,1
84749.98,121,1,1,25,0,11.02526,42,0,1,0,0
130000,101,1,2,29,0,11.02526,78,1,1,0,0
149995,101,2,3,32,0,11.04883,89,1,1,0,0
175000,101,1,2,27,0,11.00058,107,1,1,0,0
169999.9,121,1,2,27,0,11.06369,92,0,1,0,1
