obs,hdi,educ,imr,gdppc,unem,developing,europe,asia,africa,america,oceania
"Malawi",0.485400186346767,4.63,38.5,1163.277341,5.4,1,0,0,1,0,0
"Malaysia",0.80418584779664,10.15999793,6.7,28176.40401,3.4,0,0,1,0,0,0
"Maldives",0.718707078114338,6.818,6.8,13610.98495,6.1,1,0,1,0,0,0
"Mali",0.427206243726843,2.352954412,65.8,2055.622912,9.6,1,0,0,1,0,0
"Malta",0.885265683122447,11.28811066,5.6,38146.76569,4.6,0,1,0,0,0,0
"MarshallIslands",0.697589283954224,10.8856786,28,3598.637141,4.6,0,0,0,0,0,1
"Mauritania",0.527057139631419,4.614,53.3,3724.413858,10.3,1,0,0,1,0,0
"Mauritius",0.796406212447762,9.43,11.6,21074.81304,6.9,0,0,0,1,0,0
"Mexico",0.767447245379146,8.60085,11.5,18101.90412,3.3,1,0,0,0,1,0
"Micronesia",0.614157809071526,7.717375215,26.7,3196.010251,5.4,0,0,0,0,0,1
"Moldova",0.711451586216115,11.56275474,13.3,6489.740614,3.4,1,1,0,0,0,0
"Mongolia",0.734683997229871,10.17198276,14.8,12209.24678,6.3,1,0,1,0,0,0
"Montenegro",0.815933999647698,11.38676801,3.2,17278.05608,15.5,1,1,0,0,0,0
"Morocco",0.676439334914174,5.514,20,7508.795434,9,1,0,0,1,0,0
"Mozambique",0.446044680992215,3.540898438,53.3,1180.373323,3.2,1,0,0,1,0,0
"Myanmar",0.584252196135046,4.953399443,38.5,5922.023358,1.6,1,0,1,0,0,0
"Namibia",0.645037374021761,6.94,31.8,9897.630423,23.1,1,0,0,1,0,0
"Nepal",0.579485269773784,4.856,27.8,2723.962057,1.3,1,0,1,0,0,0
"Netherlands",0.933494699961273,12.1900128,3.3,49803.54287,3.9,0,1,0,0,0,0
"New Zealand",0.920886141138658,12.678166,4.4,36354.79457,4.5,0,0,0,0,0,1
"Nicaragua",0.651104261263509,6.796,14.8,4910.025441,4.5,1,0,0,0,1,0
"Niger",0.376591083103143,2.029048967,48.3,931.9875075,0.3,1,0,0,1,0,0
"Nigeria",0.534136286019714,6.4619,64.6,5315.823181,6,1,0,0,1,0,0
"NorthMacedonia",0.759422336001137,9.680116533,12,13483.42044,21.6,1,1,0,0,0,0
"Norway",0.95368833688361,12.56681764,2.1,65441.39205,3.9,0,1,0,0,0,0
"Oman",0.833789433053369,9.731845912,9.7,36830.89419,3.1,0,0,1,0,0,0
"Pakistan",0.560446359428312,5.158944258,61.2,4927.921448,3,1,0,1,0,0,0
"Palau",0.81424585507881,12.4,13.2,17202.27064,5.4,0,0,0,0,0,1
"Palestine",0.690017032543725,9.104641383,17.9,4576.432497,30.2,1,0,1,0,0,0
"Panama",0.795054699396876,10.17,13.9,22674.39904,3.9,0,0,0,0,1,0
"PapuaNewGuinea",0.543075622863265,4.62,41.8,3821.035708,2.4,0,0,0,0,0,1
"Paraguay",0.724347661798462,8.450439127,17.9,12063.02052,4.7,1,0,0,0,1,0
"Peru",0.759103573999389,9.215395842,11.6,12794.21271,2.8,1,0,0,0,1,0
"Philippines",0.711860206902447,9.393091398,22.2,7942.509857,2.5,1,0,1,0,0,0
"Poland",0.871767867896917,12.29398111,4,28751.64865,3.7,0,1,0,0,0,0
"Portugal",0.85021161872586,9.190958665,3.1,28687.48376,6.9,0,1,0,0,0,0
"Qatar",0.848440767290782,9.66734,6.5,112531.5295,0.1,0,0,1,0,0,0
"Romania",0.815569656463036,10.97836,6.6,24543.98788,4.3,0,1,0,0,0,0
"RussianFederati",0.824037890143063,12.01999,6.5,24790.64833,4.7,0,0,1,0,0,0
"Rwanda",0.536014720097445,4.417150539,28.9,2003.134142,1,1,0,0,1,0,0
"SaintKitts",0.776814604990099,8.5,11.6,28294.57138,5.4,0,0,0,0,1,0
"SaintLucia",0.744931243501808,8.491487756,14.9,12343.66127,20.9,1,0,0,0,1,0
"SaintVincent",0.727864562553523,8.616537748,14.9,10939.81572,19.8,0,0,0,0,1,0
"Samoa",0.706770761956278,10.59494988,14.2,6089.303264,8.3,0,0,0,0,0,1
"SaoTome",0.608556189413203,6.436763183,25.2,3033.39298,13.3,1,0,0,0,1,0
"SaudiArabia",0.856962813134503,9.67145098,6.3,48995.60804,5.9,0,0,1,0,0,0
"Senegal",0.513769572662736,3.068934,32.7,3356.33591,6.5,1,0,0,1,0,0
"Serbia",0.799259784748954,11.18071012,5,16035.36016,13.5,1,1,0,0,0,0
"Seychelles",0.801394514797042,9.672806259,12.2,27114.01549,5.4,0,0,0,1,0,0
"SierraLeone",0.438465282068234,3.6,81.7,1425.341577,4.3,1,0,0,1,0,0
"Singapore",0.934818974247082,11.49649,2.2,90091.41517,3.8,0,0,1,0,0,0
"Slovakia",0.8568782254854,12.60562251,4.6,31326.29535,6.8,0,1,0,0,0,0
"Slovenia",0.901601081018893,12.27337909,1.7,32742.51465,5.5,0,1,0,0,0,0
"SolomonIslands",0.557341016042722,5.54073206,17.6,2141.703812,1.8,0,0,0,0,0,1
"SouthAfrica",0.704937482749285,10.24064634,28.8,12143.47376,27,1,0,0,1,0,0
"SouthSudan",0.412770471734889,4.84913,62.5,1678.003314,12.7,1,0,0,1,0,0
"Spain",0.892788460825464,9.819481806,2.6,35055.66303,15.5,0,1,0,0,0,0
"SriLanka",0.780114782034158,11.05175,7.5,11955.49971,4.4,0,0,1,0,0,0
"Sudan",0.50749880927116,3.72,43.7,4435.857095,12.9,1,0,0,1,0,0
"Suriname",0.723692874539399,9.125367134,17.5,13775.93695,7.6,1,0,0,0,1,0
"Sweden",0.936627634387967,12.42604923,2.3,47193.57834,6.4,0,1,0,0,0,0
"Switzerland",0.945936116629152,13.38081241,3.7,59019.20998,4.9,0,1,0,0,0,0
"Syrian",0.548903220928628,5.1,14,14282.72182,8.1,1,0,1,0,0,0
"Tajikistan",0.656039110202384,10.67167179,29.4,3061.070721,10.9,1,0,1,0,0,0
"Tanzania",0.528302625609689,6.008,38.3,2809.069009,1.9,1,0,0,1,0,0
"Thailand",0.764604937584903,7.731400914,8.2,16904.69838,0.7,1,0,1,0,0,0
